Participation,Reading Assignment 2,Reading Assignment 3,Reading Assignment 4,Reading Assignment 5,Tracing Table Practice,Reading Assignment 6,Reading Assignment 7,Reading Assignment 8,Reading Assignment 9,Reading Assignment 10,Background Survey,Homework  Total,Homework Pct,Simple Arithmetic Program,Fun With Strings,Fun With Branching,Guess a Number,Credit Card Check Digit,Bar Chart Scoreboard,Dragon Trainers Tournament,Binary and Integer Conversions,Hi-Low Game,Poker Dice,Substitution Cipher,Guess the Word,Simple Clock,Project Totals,Project Pct,Week 1 Lab - Exercises,High or Low Against A Random Number,Hailstone Series,Palindrome,Fill An Array,Introducing Methods,Using The Debugger,Fill An Array Randomly,Fun With Files,ROT13 Encryption,Fun With Lists,Fun With Classes,Closed Lab Total,Closed Lab Pct,Midterm I (43527),Midterm II (43528),Final Exam (43512),Midterm Totals,Midterm Pct,Final Exam Pct,MT Reweight 1,MT Reweight 1 Pct,MT Reweight 2,MT Reweight 2 Pct,Total,Letter Grade,Reweight (based on reduced weight on MT1 and increased weight on MT2),Letter Grade,Reweight 2,Letter Grade,Final Grade,Letter Grade,,,
3,10,10,10,10,5,10,10,10,10,10,2,97,4,5,5,5,5,5,5,5,5,5,5,5,5,5,65,15,2,2,2,2,2,2,2,2,2,2,2,2,20,8,100,100,100,200,40,30,200,40,200,40,100,A,100,A,100,A,100,A,,,
2.74,9.81,10,9.55,9.03,5,9.04,9.49,10,9.36,9.74,2,93.02,3.835876289,5,5,5,5,5,5,5,5,4.5,5,5,5,5,64.5,14.88461538,2,2,2,2,2,2,2,2,2,2,2,0,20,8,86,84,,170,34,0,127,25.4,128,25.6,63.46049167,D,54.86049167,E,55.06049167,E,63.46049167,D,,,
2.47,9.43,10,9.36,8.83,4,8.75,10,10,9.18,10,2,91.55,3.775257732,5,5,5,4,0,3,3,4,2,4,1,4,0,40,9.230769231,2,2,2,1,2,2,2,2,2,2,2,0,20,8,70,59,,129,25.8,0,94,18.8,99.5,19.9,49.27602696,E,42.27602696,E,43.37602696,E,49.27602696,E,,,
2.47,9.43,10,9.94,10,4,9.42,10,10,9,9.74,2,93.53,3.856907216,5,4,5,5,5,5,4.67,5,2.88,3.5,1.33,1.5,4.5,52.38,12.08769231,2,2,2,2,2,2,2,2,2,2,2,2,20,8,84,85,,169,33.8,0,127,25.4,126.5,25.3,60.21459952,D,51.81459952,E,51.71459952,E,60.21459952,D,,,
2.91,10,10,10,10,5,10,10,10,10,10,2,97,4,5,5,5,4.5,5,5,3.75,5,5,4,5,5,4.5,61.75,14.25,2,2,2,2,2,2,2,2,2,2,2,2,20,8,59,63,,122,24.4,0,92.5,18.5,90.5,18.1,53.56,E,47.66,E,47.26,E,53.56,E,,Grade Breakdown,
1.6,9.4,9.96,9.68,9.22,4,9.23,10,10,9.18,9.74,2,92.41,3.810721649,5,5,4.5,3.25,4.17,5,4.5,4.75,4.75,4.5,4.71,4,5,59.13,13.64538462,2,2,2,2,2,2,2,2,2,2,2,2,20,8,70,82,,152,30.4,0,117,23.4,111,22.2,57.45610626,E,50.45610626,E,49.25610626,E,57.45610626,E,,Participation,3
2.56,9.62,9.79,9.74,8.93,5,8.56,9.57,10,9.18,0,2,82.39,3.397525773,5,0,5,5,5,3,5,5,5,5,5,0,0,48,11.07692308,2,2,2,2,2,0,2,2,2,0,2,1,19,7.6,78,71,,149,29.8,0,110,22,113.5,22.7,54.43444885,E,46.63444885,E,47.33444885,E,54.43444885,E,,Homework & Labs,4
2.65,10,10,10,10,5,10,10,10,10,10,2,97,4,5,5,5,5,5,5,5,5,5,5,5,5,5,65,15,2,2,2,2,2,2,2,2,2,2,2,1,20,8,88,89,,177,35.4,0,133,26.6,132.5,26.5,65.05,D,56.25,E,56.15,E,65.05,D,,Closed Labs,8
2.65,10,10,10,10,4,10,10,10,10,10,2,96,3.958762887,5,5,5,5,5,5,5,5,5,4,4,5,5,63,14.53846154,2,2,2,2,2,2,1,2,2,2,2,2,20,8,93,85,,178,35.6,0,131.5,26.3,135.5,27.1,64.74722443,D,55.44722443,E,56.24722443,E,64.74722443,D,,Projects,15
2.74,10,10,10,10,5,10,10,10,6.36,10,2,93.36,3.849896907,5,5,5,5,5,5,5,5,5,5,5,5,5,65,15,2,2,2,2,2,2,2,2,2,2,2,2,20,8,98,98,,196,39.2,0,147,29.4,147,29.4,68.78989691,D+,58.98989691,E,58.98989691,E,68.78989691,D+,,Midterms,40
