,ID_Deidentified,Semester,SEX,OCC_RPT_ETH_CD_DSC,URM Status,STRM,SUBJECT,CATALOG_NBR,CLASS_SECTION,CLASS_NBR,SSR_COMPONENT,STDNT_ENRL_STATUS,ENRL_STATUS_REASON,GRADING_BASIS_ENRL,TRANSACTION_DATE,WITHDRAW_CODE,Participation,Reading Assignment 2,Reading Assignment 3,Reading Assignment 4,Reading Assignment 5,Tracing Table Practice,Reading Assignment 6,Reading Assignment 7,Reading Assignment 8,Reading Assignment 9,Reading Assignment 10,Background Survey,Homework  Total,Homework Pct,Simple Arithmetic Program,Fun With Strings,Fun With Branching,Guess a Number,Credit Card Check Digit,Bar Chart Scoreboard,Dragon Trainers Tournament,Binary and Integer Conversions,Hi-Low Game,Poker Dice,Substitution Cipher,Guess the Word,Simple Clock,Project Totals,Project Pct,Week 1 Lab - Exercises,High or Low Against A Random Number,Hailstone Series,Palindrome,Fill An Array,Introducing Methods,Using The Debugger,Fill An Array Randomly,Fun With Files,ROT13 Encryption,Fun With Lists,Fun With Classes,Closed Lab Total,Closed Lab Pct,Midterm I (43527),Midterm II (43528),Final Exam (43512),Midterm Totals,Midterm Pct,Final Exam Pct,MT Reweight 1,MT Reweight 1 Pct,MT Reweight 2,MT Reweight 2 Pct,Total,Letter Grade,Reweight (based on reduced weight on MT1 and increased weight on MT2),Letter Grade.1,Reweight 2,Letter Grade.2,Final Grade,CRSE_GRADE_OFF
0,6847_1,AU2019,M,White,Non-URM,1198,CSE,1223,30,6847,LEC,E,ENRL,GRD,8-Aug-19,NWD,2.74,9.81,10,9.55,9.03,5,9.04,9.49,10,9.36,9.74,2,93.02,3.835876289,5,5,5,5,5,5,5,5,4.5,5,5,5,5,64.5,14.88461538,2,2,2,2,2,2,2,2,2,2,2,0,20,8,86,84,92,170,34,27.6,173,34.6,174,34.8,91.06049167,A-,91.66049167,A-,91.86049167,A-,91.86049167,A-
1,6847_2,AU2019,M,Black or African American,URM,1198,CSE,1223,30,6847,LEC,E,EWAT,GRD,19-Aug-19,NWD,2.47,9.43,10,9.36,8.83,4,8.75,10,10,9.18,10,2,91.55,3.775257732,5,5,5,4,0,3,3,4,2,4,1,4,0,40,9.230769231,2,2,2,1,2,2,2,2,2,2,2,0,20,8,70,59,44,129,25.8,13.2,116,23.2,121.5,24.3,62.47602696,D,59.87602696,E,60.97602696,D,62.47602696,D
2,6847_3,AU2019,M,White,Non-URM,1198,CSE,1223,30,6847,LEC,E,ENRL,GRD,12-Aug-19,NWD,2.47,9.43,10,9.94,10,4,9.42,10,10,9,9.74,2,93.53,3.856907216,5,4,5,5,5,5,4.67,5,2.88,3.5,1.33,1.5,4.5,52.38,12.08769231,2,2,2,2,2,2,2,2,2,2,2,2,20,8,84,85,80,169,33.8,24,167,33.4,166.5,33.3,84.21459952,B,83.81459952,B,83.71459952,B,84.21459952,B
3,6847_4,AU2019,M,White,Non-URM,1198,CSE,1223,30,6847,LEC,E,ENRL,GRD,30-Jul-19,NWD,2.91,10,10,10,10,5,10,10,10,10,10,2,97,4,5,5,5,4.5,5,5,3.75,5,5,4,5,5,4.5,61.75,14.25,2,2,2,2,2,2,2,2,2,2,2,2,20,8,59,63,58,122,24.4,17.4,121.5,24.3,119.5,23.9,70.96,C-,70.86,C-,70.46,C-,70.96,C-
4,6847_5,AU2019,M,Black or African American,URM,1198,CSE,1223,30,6847,LEC,E,ENRL,GRD,30-Jul-19,NWD,1.6,9.4,9.96,9.68,9.22,4,9.23,10,10,9.18,9.74,2,92.41,3.810721649,5,5,4.5,3.25,4.17,5,4.5,4.75,4.75,4.5,4.71,4,5,59.13,13.64538462,2,2,2,2,2,2,2,2,2,2,2,2,20,8,70,82,60,152,30.4,18,147,29.4,141,28.2,75.45610626,C,74.45610626,C,73.25610626,C,75.45610626,C
5,6847_6,AU2019,M,None Given/Race Unknown,Non-URM,1198,CSE,1223,30,6847,LEC,E,ENRL,GRD,12-Aug-19,NWD,2.56,9.62,9.79,9.74,8.93,5,8.56,9.57,10,9.18,0,2,82.39,3.397525773,5,0,5,5,5,3,5,5,5,5,5,0,0,48,11.07692308,2,2,2,2,2,0,2,2,2,0,2,1,19,7.6,78,71,56,149,29.8,16.8,138,27.6,141.5,28.3,71.23444885,C-,69.03444885,D+,69.73444885,D+,71.23444885,C-
6,6847_7,AU2019,M,White,Non-URM,1198,CSE,1223,30,6847,LEC,E,ENRL,GRD,30-Jul-19,NWD,2.65,10,10,10,10,5,10,10,10,10,10,2,97,4,5,5,5,5,5,5,5,5,5,5,5,5,5,65,15,2,2,2,2,2,2,2,2,2,2,2,1,20,8,88,89,92,177,35.4,27.6,179,35.8,178.5,35.7,92.65,A-,93.05,A,92.95,A-,93.05,A
7,6847_8,AU2019,F,Asian,Non-URM,1198,CSE,1223,30,6847,LEC,E,ENRL,GRD,5-Aug-19,NWD,2.65,10,10,10,10,4,10,10,10,10,10,2,96,3.958762887,5,5,5,5,5,5,5,5,5,4,4,5,5,63,14.53846154,2,2,2,2,2,2,1,2,2,2,2,2,20,8,93,85,83,178,35.6,24.9,173,34.6,177,35.4,89.64722443,B+,88.64722443,B+,89.44722443,B+,89.64722443,A-
8,6847_9,AU2019,M,White,Non-URM,1198,CSE,1223,30,6847,LEC,E,ENRL,GRD,2-Aug-19,NWD,2.74,10,10,10,10,5,10,10,10,6.36,10,2,93.36,3.849896907,5,5,5,5,5,5,5,5,5,5,5,5,5,65,15,2,2,2,2,2,2,2,2,2,2,2,2,20,8,98,98,95,196,39.2,28.5,194.5,38.9,194.5,38.9,97.28989691,A,96.98989691,A,96.98989691,A,97.28989691,A
9,6847_10,AU2019,M,Asian,Non-URM,1198,CSE,1223,30,6847,LEC,E,ENRL,GRD,4-Aug-19,NWD,3,10,10,10,10,5,10,10,10,10,10,2,97,4,5,5,5,5,5,5,5,5,5,5,5,5,5,65,15,0,2,2,2,2,2,2,2,2,2,2,2,20,8,98,98,93,196,39.2,27.9,193.5,38.7,193.5,38.7,97.1,A,96.6,A,96.6,A,97.1,A
